id,sessionid,title,abstract,authorname,authorbelongs,bookmark,star
21,DBS-05,学術論文閲覧支援インタフェースのための頭字語の活用,NO DATA,前野 明子,岡山大学大学院自然科学研究科,0,1
22,DBS-06,歴史資料に関する利用者の興味喚起を目的とした小袖屏風DBシステムの設計と構築,NO DATA,藤村 雄基,横浜国立大学,0,1
23,DBS-07,レビュー解析に基づくユーザ評価の根拠提示の一手法,NO DATA,松尾 哉太,岡山大学大学院自然科学研究科,0,1
24,DBS-08,画像特徴量とコメントを用いたニコニコ動画の指示的要約サムネイルの生成手法,NO DATA,松原 宏和,岡山大学,0,1
25,DBS-09,データの部分集約による高速かつ正確なデータ集計処理の実現,NO DATA,小山田 昌史,NEC,0,1
26,DBS-10,意味的な複合イベント処理を可能とするイベントベースについて,NO DATA,石川 佳治,名古屋大学/国立情報学研究所,0,1
27,DBS-11,複数アクセラレータ向けデータ処理ミドルウェアの検討,NO DATA,鈴木 順,NEC/東大,0,1
28,DBS-12,デッドラインを持つクエリプラン割り当てによる分散ストリーム処理のリアルタイムスケジューリング方式,NO DATA,山口 晃広,名古屋大学大学院情報科学研究科附属組込みシステム研究センター,0,1
29,CSYS-01,NO DATA,NO DATA,NO DATA,NO DATA,0,1
30,CSYS-02,NO DATA,NO DATA,NO DATA,NO DATA,0,1
31,CSYS-03,NO DATA,NO DATA,NO DATA,NO DATA,0,1
32,CSYS-04,NO DATA,NO DATA,NO DATA,NO DATA,0,1
33,CSYS-05,NO DATA,NO DATA,NO DATA,NO DATA,0,1
34,CSYS-06,NO DATA,NO DATA,NO DATA,NO DATA,0,1
35,CSYS-07,NO DATA,NO DATA,NO DATA,NO DATA,0,1
36,CSYS-08,NO DATA,NO DATA,NO DATA,NO DATA,0,1
37,CSYS-09,NO DATA,NO DATA,NO DATA,NO DATA,0,1
38,CSYS-10,NO DATA,NO DATA,NO DATA,NO DATA,0,1
39,CSYS-11,NO DATA,NO DATA,NO DATA,NO DATA,0,1
40,CSYS-12,NO DATA,NO DATA,NO DATA,NO DATA,0,1
41,CSYS-13,NO DATA,NO DATA,NO DATA,NO DATA,0,1
42,CSYS-14,NO DATA,NO DATA,NO DATA,NO DATA,0,1
43,CSYS-15,NO DATA,NO DATA,NO DATA,NO DATA,0,1
44,ESS-01,NO DATA,NO DATA,NO DATA,NO DATA,0,1
45,ESS-02,NO DATA,NO DATA,NO DATA,NO DATA,0,1
46,COG-01,Firebird日本ユーザ会,NO DATA,NO DATA,NO DATA,0,1
47,COG-02,日本MySQLユーザ会,NO DATA,NO DATA,NO DATA,0,1
48,COC-01,ヤフー株式会社,NO DATA,NO DATA,NO DATA,0,1
49,COC-02,株式会社ネクスト　リッテル研究所,NO DATA,NO DATA,NO DATA,0,1
50,COC-03,サイボウズ株式会社,NO DATA,NO DATA,NO DATA,0,1
51,COC-04,楽天株式会社,NO DATA,NO DATA,NO DATA,0,1
52,COC-05,株式会社サイバーエージェント,NO DATA,NO DATA,NO DATA,0,1
53,COC-06,ユーザーローカル,NO DATA,NO DATA,NO DATA,0,1
54,COC-07,株式会社 日立製作所,NO DATA,NO DATA,NO DATA,0,1
55,COC-08,チームラボ株式会社,NO DATA,NO DATA,NO DATA,0,1
56,COC-09,アカデミック・リソース・ガイド株式会社,NO DATA,NO DATA,NO DATA,0,1
57,COC-10,サイジニア,NO DATA,NO DATA,NO DATA,0,1
